,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,10/31/22 23:30,Rancho mission viejo,CA,USA,Unknown,10-15 seconds,It was more like a long light of orange as if an orange light just opened the light sky. No light shinning down or out of he clouds.,12/22/22,
1,10/31/22 22:45,New Braunfels,TX,USA,Chevron,7 seconds,Dim gray object flew silently while spreading out into multiple pieces then disappeared,12/22/22,
2,10/31/22 19:11,Concord,CA,USA,Light,So far it’s been 40mins,A circle of light flying in a circle motion creating a perfect circle in the sky an fast,12/22/22,
3,10/31/22 15:32,New Port Richey,FL,USA,Disk,2 minutes,Bright white Flashing lights on the craft,12/22/22,
4,10/31/22 06:30,Granite lake,SA,Canada,Disk,2 hours,"One craft was seen in front of my friends cabin. Craft kept appearing all around us , we watched them for 2 hours",12/22/22,
5,10/31/22 04:00,Speculator,NY,USA,Circle,Seconds,"While I know this was about 40 years ago,I wish someone would find it",12/22/22,
6,10/31/22 03:40,Show Low,AZ,USA,Light,5 seconds in my eyesight,Massive neon green light/fireball with second object trailing 10 min later,12/22/22,
7,10/31/22 03:00,Saint joe,IN,USA,Circle,Still got,I was digging and I found an reptilian creature in the place I was digging there was a big tank out in the middle of the woods,12/22/22,Yes
8,10/31/22 02:49,McMinnville,OR,USA,Light,Approximately one minute,Bright light changing shape and pulsing a little on front deck as captured by Nest camera.,12/22/22,Yes
9,10/31/22 02:13,Colchester,Essex,United Kingdom,Fireball,4 seconds,Me and 2 other friends were roaming around our campus at the University of Campus when both of us spotted a blue light just race across,12/22/22,
10,10/31/22 00:30,Riverview,NB,Canada,Rectangle,Couple hours,There’s a rectangle shape craft very high up multiple color flashing lights,12/22/22,
11,10/30/22 22:45,Panama city,FL,USA,Light,5-10 minutes,The light hovered silently in the sky. After 5 or 10 minutes the object shot up in the sky with a bright light that resembled welding.,12/22/22,Yes
12,10/30/22 22:35,Arvada,CO,USA,Oval,13 mins,Oval shaped object very high moving W to E. Both my Wife and I observed it with the naked eye and binoculars. Definetly not an aircraft,12/22/22,Yes
13,10/30/22 22:30,Davnport. Fl,FL,USA,Light,Davnport fl,I don’t know if it’s a drone or a UFO,12/22/22,
14,10/30/22 21:50,Homosassa,FL,USA,Circle,Fifteen min,We were driving and we seen three perfect circles of light in a perfect formation and they flew really fast and a light shot down we se,12/22/22,
15,10/30/22 21:15,Baltimore,MD,USA,Sphere,5 min,Around 9:30 or so I was sitting on my bed when out the corner of my eye I spotted a bright orange light moving slowly across the sky,12/22/22,
16,10/30/22 21:00,Denver,CO,USA,Formation,20 seconds,Shape shifting glowing objects flying in formation,12/22/22,
17,10/30/22 20:01,Slidell through Covington,,,Triangle,7 min,We were driving back from the movies and we were on the interstate and I saw it from a distance and my son noticed it went over us,12/22/22,
18,10/30/22 19:24,Reading,PA,USA,Circle,4 minutes,4 red steady lights in a large triangular formation,12/22/22,
19,10/30/22 19:05,Rrochester,NH,USA,Light,30 seconds,Bright fire engine light moving from south to north.,12/22/22,
20,10/30/22 17:30,Sacramento,CA,USA,Cone,30 minutes,"Observed a object that changed from a square and ended as a cone. It was white and gold, reflected the sun as it was in daylight.",12/22/22,Yes
21,10/30/22 15:58,Center Point,IA,USA,Other,Unknown,"3 digital pics of 2 conjoined dark cloud circles with illuminated crown of blue/white light in sky at 4 pm on Sun, 30 Oct 2022.",12/22/22,Yes
22,10/30/22 14:49,Winter Park,,USA,Changing,Tqf,Faqf,12/22/22,
23,10/30/22 14:44,Navy yard,,,Changing,5 min,2 UFOS Flying over Washington DC,12/22/22,
24,10/30/22 07:40,Lampasas County,TX,USA,Oval,1minute tops,It was an oval shape with 1 wing. It was moving in an odd way that made me think it is not a satellite.,12/22/22,Yes
25,10/30/22 06:00,Mason City,IA,USA,Unknown,20 minutes,Saw this on my walk,12/22/22,Yes
26,10/30/22 02:30,Annapolis,MD,USA,Circle,2 mins,Large light aprox 100 ft diameter solid light a flash light but no glare in eyes,12/22/22,
27,10/30/22 02:13,Benson,NC,USA,Cylinder,one hour,swaying object in sky,12/22/22,Yes
28,10/30/22 02:00,Tampa,FL,USA,Disk,Seconds,Photo taken while driving at night,12/22/22,Yes
29,10/30/22 01:45,Jamestown,NY,USA,Light,45 minutes,story is explanatory,12/22/22,
30,10/30/22 00:30,Valley View,PA,USA,Light,5 to 10 mins,"2 lights appear, one after another, suddenly disappear, one after another.",12/22/22,
31,10/29/22 22:00,Topeka,KS,USA,Triangle,15-20 min.,Triangle formation of white lights.,12/22/22,
32,10/29/22 22:00,Truxton,NY,USA,Cylinder,I watched for about 5 min,"I only saw light, 3 separate objects all alike, first still, then 2 traveled.",12/22/22,
33,10/29/22 22:00,Orangeville,ON,Canada,Circle,Alll night most nighta,I have hundreds of photos and hdr photos using Astro cam,12/22/22,
34,10/29/22 21:28,North Royalton,OH,USA,Circle,2 minutes,We saw a light moving very fast approaching and it was too high for a plane and way to fast,12/22/22,
35,10/29/22 20:59,Altmar,NY,USA,Oval,Maybe 10-15 mins,Lights flashing and hovering moving up down and diagonal very quickly,12/22/22,
36,10/29/22 20:05,Sheffield,Derbyshire,United Kingdom,Disk,1 hour,Three videos taken during the time of low cloud and a discus type shape moving quickly,12/22/22,
37,10/29/22 19:40,Austin,TX,USA,Oval,15 minutes,Lights moving above the clouds at greatest speeds,12/22/22,
38,10/29/22 19:30,Melrose,MA,USA,Changing,15 minutes,About six red dots about 1000 feet up in the sky,12/22/22,
39,10/29/22 19:00,Port charlotte,FL,USA,Cigar,20-25min,Saw 4 unidentified objects in they sky over a 20 min period,12/22/22,
40,10/29/22 18:38,Lancaster,PA,USA,Triangle,1 minute,Four orange lights hovering and then disappeared,12/22/22,Yes
41,10/29/22 16:27,Allumette Island Quebec,Quebec,Canada,Cigar,15-25 seconds,Very large cigar shaped craft traveling quickly in an eastern direction,12/22/22,Yes
42,10/29/22 13:39,Florence,KY,USA,Triangle,Maybe 2 minutes,"Two pyramid shaped objects appear to be made of highly polished metal, flying in tandem.",12/22/22,Yes
43,10/29/22 12:00,Yucaipa,CA,USA,Circle,20 or more minutes,A stationary object with pulsing white light was see for more than 20 minutes,12/22/22,
44,10/29/22 11:45,Oswego,IL,USA,Cylinder,5 minutes,Shimmering Cylindrical Object,12/22/22,
45,10/29/22 04:40,,,USA,Unknown,several seconds per occur,Pilot reported UFO sighting to Jacksonville ARTCC,12/22/22,
46,10/29/22 03:10,Denver,CO,USA,Changing,Over an hour,unknown flying object,12/22/22,
47,10/29/22 02:32,Denver,CO,USA,Chevron,5 minutes,UFO one of 3 seen within 2 hours,12/22/22,
48,10/28/22 23:38,Tuscola,IL,USA,Formation,Couple days,Stars not stars took pics,12/22/22,
49,10/28/22 23:28,Daytona Beach,FL,USA,Formation,43 seconds,Massive Orb fleet over Daytona Beach,12/22/22,
50,10/28/22 21:54,Amarillo,TX,USA,Circle,15-30 minutes,Strange light phenomenon spotted moving in a complete circle above my apartment complex.,12/22/22,
51,10/28/22 21:35,Kokomo,,,Changing,5 minutes,We noticed something in the sky moving and we looked up it was massive in size then all of a sudden it takes off and vanished,12/22/22,
52,10/28/22 21:30,Santa Clara,CA,USA,Changing,about 3 seconds,A flashing and big blue colored objects (with red in the edges) flies over the sky quickly,12/22/22,
53,10/28/22 21:30,Springfield,IL,USA,Circle,5-7 minutes,Noticed a very large bright circular light above my home hovering ..,12/22/22,
54,10/28/22 21:26,SUSANVILLE,CA,USA,Circle,4 seconds,Oddly slow moving green light coming towards the ground.,12/22/22,
55,10/28/22 21:08,Aurora,IL,USA,Sphere,40 seconds approximately.,Bright orange sphere flying low without noise or beacons.,12/22/22,
56,10/28/22 19:49,Rutherfordton,NC,USA,Disk,10 seconds,Floating white disk of light,12/22/22,
57,10/28/22 19:30,Brisbane,Queensland,Australia,Light,5 seconds,On Friday 28/10/22 7:30pm I saw a very fast white light fly past a plane the object was moving east to west close to the horizon,12/22/22,
58,10/28/22 17:05,Montgomery,OH,USA,Changing,Over 1 hour,Beautiful day sitting in the hot tub Saw multiple objects moving in the sky. Have multiple videos.,12/22/22,Yes
59,10/28/22 06:41,Wildwood,FL,USA,Unknown,Lasted 10 sec/ 2 sighting,A light from a far distance traveling speeds not currently possible,12/22/22,
60,10/28/22 03:00,Birmingham,AL,USA,Disk,3 minutes,I saw it fly in and there was blue lights on it,12/22/22,
61,10/28/22 02:30,Shrewsbury,Shropshire,United Kingdom,Triangle,Approx 1 minute,Slow Moving Black Triangle Over Fields,12/22/22,Yes
62,10/28/22 01:00,Las Cruces,NM,USA,Circle,2 minutes,UFO Las Cruces NM,12/22/22,
63,10/28/22 00:30,Ashburn,GA,USA,Light,20 minutes,Bright slow moving light with spikes that hovered to south and second craft with bright white/red spike,12/22/22,
64,10/27/22 23:59,osage beach,MO,USA,Cylinder,maybe 10 seconds,A bright light that nice unnaturally,12/22/22,
65,10/27/22 21:30,DUGSPUR,VA,USA,Delta,About 1 minute,South bound. Three red lights in line in center of craft. One was followed closely behind the other. Dogs barked when light fell from,12/22/22,
66,10/27/22 21:30,Lexington,KY,USA,Formation,5 minutes,My dog was barking to go outside and when I turned around there were a massive formation of hovering lights.,12/22/22,
67,10/27/22 21:27,Tunkhannock,PA,USA,Chevron,1 minute,Thought it was iss at first.,12/22/22,
68,10/27/22 21:04,Baltimore,MD,USA,Chevron,20 minutes,"Shapes flying in rows of threes and sixes. In a V shape three per side. Speed of helicopter, no flashing lights no sound",12/22/22,
69,10/27/22 20:34,Anniston,AL,USA,Formation,20 seconds,Red orbs that made a V,12/22/22,
70,10/27/22 20:05,Dixon,MO,USA,Light,7 seconds,Looking at the big dipper a light was traveling very slow then it got super bright and zoomed across the big dipper heading north,12/22/22,
71,10/27/22 19:20,Cortez,CO,USA,Cylinder,30-60 second s,I stepped out of my hotel room and this enormous light I would say the size of a full moon was lighting up the . I was able to take a p,12/22/22,Yes
72,10/27/22 19:10,Brewerton,NY,USA,Cigar,5-10 mins,Out for my even walk and saw a long shaped craft moving very slowly and hovering near Oneida Lake,12/22/22,
73,10/27/22 19:09,Near San Diego,CA,USA,Triangle,Few seconds,Pulsating triangle,12/22/22,
74,10/27/22 19:08,Apex,NC,USA,Circle,several minutes,"Large floating and moving slowly above the tree line, lights arranged in an hexagon or circle, seemed solid but was dark out.",12/22/22,
75,10/27/22 18:43,Hamilton,MO,USA,Cylinder,2 minutes,Observed a bright white object on our deer hunting camera. No lights should be there. Possibly over pond or on pond damn,12/22/22,Yes
76,10/27/22 18:25,Tucson,AZ,USA,Other,10 minutes,A big white light moving fast with an Aurora around it and disappearing into thin air,12/22/22,
77,10/27/22 18:21,Safford,AZ,USA,Other,About a minute,4 objects in close association with a Falcon 9 rocket that do not look like Star Link satellites. ((NUFORC Note:  Seagulls??  PD)),12/22/22,Yes
78,10/27/22 18:20,Tucson,AZ,USA,Unknown,3-4 minutes going south,It looked like a missile or space junk burning up and going south.,12/22/22,Yes
79,10/27/22 18:20,San Bernardino,CA,USA,Changing,Approx. Five minutes,Comet-like object,12/22/22,
80,10/27/22 18:20,Sierra vista,AZ,USA,Other,5 to 10 minutes,Last seen heading south.  ((NUFORC Note:  Rocket launch?? PD)),12/22/22,Yes
81,10/27/22 18:20,Las vegas,NV,USA,Circle,About 5 minutes,Flight time of 5 minute visual with 37 sec video capture,12/22/22,
82,10/27/22 18:19,Kingman,AZ,USA,Fireball,Aprox 5 minutes,VERY slow moving fireball with comet-like tail streaking SE and changing directions several times,12/22/22,
83,10/27/22 18:18,Tucson,AZ,USA,Light,5 min approx,"Bright light, looked like spraying light out of it and to the sides",12/22/22,
84,10/27/22 18:18,Douglas,AZ,USA,Cone,10 minutes,"Cone shapped, extremely bright white lighted opject moving SE with a contrail",12/22/22,Yes
85,10/27/22 17:41,Gainsborough,Lincolnshire,United Kingdom,Triangle,43 minutes,Black smoke object then bright flashing light with orange and red lights,12/22/22,
86,10/27/22 17:38,New York,NY,USA,Formation,10 min,Formation of lights,12/22/22,
87,10/27/22 17:00,Holyoke or Springfield,MA,USA,Other,5 seconds (driving),"Looked flat, cruising at low altitude on horizon and appeared to drop a triangle structure.",12/22/22,
88,10/27/22 15:15,portland,TN,USA,Changing,30 seconds,huge black morphing diamond shape no lights,12/22/22,
89,10/27/22 11:46,State College,PA,USA,Other,About 30 seconds,"Bright white dot or orb over State College, PA",12/22/22,Yes
90,10/27/22 08:55,Pensacola,FL,USA,Rectangle,About 2 minutes,3 light craft with a translucent exterior that vanishes,12/22/22,
91,10/27/22 07:29,Raleigh,,USA,Cigar,1-3 minutes,6 craft all having 1 green light. 2 stopped in the air then sped up rapidly and passed the other 4. Fireball then everything gone.,12/22/22,
92,10/27/22 06:30,,NJ,USA,Sphere,About 2-3 minutes,"While on my back porch with my brother, we noticed a bright orb high over the trees surrounding the property.",12/22/22,
93,10/27/22 05:34,Melbourne Beach,FL,USA,Oval,4 - 5 seconds,glowing orblike object spinning passed east to sw,12/22/22,
94,10/27/22 04:58,Northern Myrtle Beach,SC,USA,Cigar,saw it for approx 10 min,I thought it was a bright star until it moved sideways and forward very quickly,12/22/22,Yes
95,10/27/22 02:08,Stanford,KY,USA,Circle,2 minutes,Flashing round light leaves trail in sky,12/22/22,
96,10/27/22 02:05,"Navsari, Village - Kangwai",Gujarat,India,Circle,2 hour + hovering,Circular object hovering on top of my village located in a very rural area.,12/22/22,
97,10/27/22 02:00,Oxford,MI,USA,Circle,1 hr,((HOAX))  UFO+Airplane+Bodies hanging off UFO.  ((NUFORC Note:  One of several hoaxed reports from same source.  PD)),12/22/22,Yes
98,10/27/22 01:00,Buffalo,MN,USA,Unknown,10 seconds,Light moving from left to right,12/22/22,
99,10/26/22 23:51,Oshkosh,WI,USA,Light,1 sec,Orb or UAP moving fast,12/22/22,
100,10/26/22 21:00,Fiddletown,CA,USA,Circle,2-3 seconds,In my front yard a small close or big and far light went zipping across the sky,12/22/22,
101,10/26/22 18:31,new britain,CT,USA,Sphere,2-5 seconds,3-5 seconds white bright sphere at low altitude linear flight path moving a high rate of speed flashed to double its size and disappear,12/22/22,
102,10/26/22 18:23,Ansonia,CO,USA,Disk,60 seconds,"I saw a flash of light, turned my head in the direction that I had seen the flash and I saw a bright green disk drop from the sky",12/22/22,
103,10/26/22 14:35,Mary Esther,FL,USA,Changing,7 minutes,"I thought it was a flock of birds, but it disappeared and then reappeared",12/22/22,Yes
104,10/26/22 11:55,west palm beach,FL,USA,Oval,30 seconds,"I captured multiple UAP, at least one of which is traveling at non-human speed.",12/22/22,
105,10/26/22 07:45,Tulsa,OK,USA,Circle,2 minutes,"In horizon there was a circular object no lights just hovering, and then just disappear.",12/22/22,
106,10/26/22 06:57,St louis,MO,USA,Unknown,3 seconds,"What i thought was a plane, took off like a rocket leaving green streaks",12/22/22,
107,10/26/22 06:56,Lafayette,LA,USA,Changing,2 seconds,"A large rectangular object glowing bright white breaking up in the Northeast sky at 25 degrees at 6:56am, in Lafayette, LA- ON 10/26/22",12/22/22,
108,10/26/22 06:55,Semmes,AL,USA,Light,10 to 20 seconds,I was stopped in traffic and saw a bright white light in the sky. It made a circle and then a straight line and disappeared.,12/22/22,
109,10/26/22 05:59,Henderson,NV,USA,Oval,Until sunrise,Lights appearing southbound from Lake Mead Blvd,12/22/22,Yes
110,10/26/22 03:30,Marietta,OH,USA,Other,"6 minutes, approximate",Heard the sound outside. Picture of something in the window. Missing time.,12/22/22,Yes
111,10/25/22 22:20,Statesboro,GA,USA,Triangle,2-3 minutes,Witnessed enormous football sized aircraft craft overhead.,12/22/22,
112,10/25/22 22:10,Memphis,TN,USA,Changing,10 minutes,A grouping of lights in a triangular pattern moving through the sky,12/22/22,Yes
113,10/25/22 21:45,Yucca Valley,CA,USA,Fireball,"10 minutes, 2 appearances","9:45 PM can see two glowing orange orbs above a mountain. They disappeared, then they reappeared and disappeared.",12/22/22,
114,10/25/22 20:30,Coconut Creek,FL,USA,Other,2 seconds,"Quick, horizontal-moving flying object started flying even faster and then vanished in an instant.",12/22/22,
115,10/25/22 20:11,Fairhope,AL,USA,Rectangle,3 minutes,Large bright stationary object - then disappeared.,12/22/22,Yes
116,10/25/22 19:03,Buffalo,NY,USA,Triangle,6 seconds,"Super fast triangle shaped craft, no noise, a white light on each corner, moved from direct 90 degrees above to horizon in 6 seconds",12/22/22,
117,10/25/22 18:40,Johannesburg,,South Africa,Light,For a few sec before it d,"A star that appeared and disappeared in seconds, and the other one was on the south.",12/22/22,
118,10/25/22 16:22,Barstow,CA,USA,Circle,10 min,Starbuck island on Google earth there is what looks like a crashed craft at one end of island leaving a scar on the ground leading up t,12/22/22,
119,10/25/22 15:59,Porter county,IN,USA,Changing,Every where i go,((NFORC Note:  HOAX??  PD))Every where I go,12/22/22,
120,10/25/22 14:00,Portland,OR,USA,Triangle,15-20 min,A leaf was doing gymnastics that seemed to defy any reality I know.,12/22/22,
121,10/25/22 05:50,Georgetown,TX,USA,Light,Maybe a minute,Bright light high in atmosphere shot across the sky on a straight trajectory faster than anything I've ever seen,12/22/22,
122,10/25/22 05:20,Myrtle Beach,SC,USA,Triangle,15 to 20 seconds,Triangle w 3 lights moved as one huge object.,12/22/22,
123,10/25/22 04:06,Ocean Shores,WA,USA,Sphere,15 min.,White/blue sparkling lights,12/22/22,
124,10/25/22 03:05,Stanford,KY,USA,Circle,10 min including 2 camera,Refer to video,12/22/22,
125,10/25/22 03:05,Stanford,KY,USA,Circle,5 mins,Via security camera,12/22/22,
126,10/25/22 02:00,Oxford,MI,USA,Unknown,Minutes,((NUFORC Note:  HOAX??  PD))  Very light white ufos showing out of no where—& Blue Alien,12/22/22,Yes
127,10/25/22 01:47,Shawnee,KS,USA,Circle,1m 52sec,Seen a bright perfectly circular pulsating object in the sky disappearing and reappearing,12/22/22,Yes
128,10/25/22 01:00,Cape Coral,FL,USA,Changing,Until 4:445 AM,Looking outside at the stars when I noticed one of the stars was flashing colors. I zoomed in on my phone and was able to see,12/22/22,Yes
129,10/24/22 23:50,Leamington Spa,,United Kingdom,Fireball,approx 1 minute,"Orange fireball travelling from South to North at speed, no sound",12/22/22,
130,10/24/22 22:45,Port Richey,FL,USA,Light,2 seconds,"I saw a very faint streak of light stream across the sky, it changed direction from north to south, to southwest through path.",12/22/22,
131,10/24/22 21:24,Miami,FL,USA,Sphere,30sec to 1min,White glowing orb. Moves quickly and does dark. Not visible,12/22/22,Yes
132,10/24/22 21:03,Erie,PA,USA,Triangle,About 2 seconds.,Lights moving across the sky.,12/22/22,
133,10/24/22 20:45,Niagara Falls,NY,USA,Circle,now had been 45 minutes,"A very bright white round white was stationary in the sky, with a red light orbiting it",12/22/22,
134,10/24/22 19:23,Fontana,CA,USA,Oval,About 4 -5 seconds,Looked up saw oval object appear on fire fell from the sky downward into the mountain area north of Duncan cyn & 15 fwy,12/22/22,Yes
135,10/24/22 19:03,LAKE HAVASU CITY,CA,USA,Light,5 minutes,Blinking Lights following Each other,12/22/22,
136,10/24/22 16:22,Yantai,Shandong,China,Unknown,"30min,3total",3 Unknown no direction thing cross the sky,12/22/22,Yes
137,10/24/22 07:00,Cincinnati,OH,USA,Circle,3 minutes,I was taking time lapses of sunrise when I notice a bright light come out of one cloud and float to another,12/22/22,Yes
138,10/24/22 06:52,Holmesville,OH,USA,Triangle,2 Minutes,Triangle shaped object moving steadily across sky,12/22/22,
